run_id,model,method,task,metric_dimension,aug,think,strict_f1,strict_acc,lenient_f1,lenient_acc,n_total_rows,n_scored_rows,n_unknown,unknown_rate,unknown_row_indices,prediction_file,timestamp
040,Gemma3-12B,LoRA,MT,PG,None,N/A,0.494348,0.684211,0.77341,0.842105,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA-Gemma3-12B/run040_mt_predictions.csv,2026-04-22T21:21:18
040,Gemma3-12B,LoRA,MT,Act,None,N/A,0.56702,0.759109,0.873564,0.882591,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA-Gemma3-12B/run040_mt_predictions.csv,2026-04-22T21:21:18
041,Gemma3-27B,Zero-shot,MI,MI,None,N/A,0.57701,0.710037,0.744363,0.877323,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-27B/run041_mi_predictions.csv,2026-04-29T21:41:07
042,Gemma3-27B,Zero-shot,ML,ML,None,N/A,0.462004,0.532389,0.664506,0.769231,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-27B/run042_ml_predictions.csv,2026-04-29T21:41:20
043,Gemma3-27B,Zero-shot,PG,PG,None,N/A,0.492014,0.558704,0.676233,0.819838,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-27B/run043_pg_predictions.csv,2026-04-29T21:41:29
044,Gemma3-27B,Zero-shot,Act,Act,None,N/A,0.497817,0.518219,0.664402,0.744939,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-27B/run044_act_predictions.csv,2026-04-29T21:41:38
045,Gemma3-27B,Zero-shot,MT,MI,None,N/A,0.51464,0.797571,0.758659,0.882591,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-27B/run045_mt_predictions.csv,2026-04-29T21:48:23
045,Gemma3-27B,Zero-shot,MT,ML,None,N/A,0.497484,0.611336,0.663021,0.765182,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-27B/run045_mt_predictions.csv,2026-04-29T21:48:23
045,Gemma3-27B,Zero-shot,MT,PG,None,N/A,0.494987,0.504049,0.7257,0.840081,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-27B/run045_mt_predictions.csv,2026-04-29T21:48:23
045,Gemma3-27B,Zero-shot,MT,Act,None,N/A,0.421285,0.619433,0.676431,0.738866,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Gemma3-27B/run045_mt_predictions.csv,2026-04-29T21:48:23
046,Gemma3-27B,LoRA,MI,MI,None,N/A,0.303226,0.330855,0.488294,0.613383,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Gemma3-27B/run046_fixed.csv,2026-04-30T11:35:41
047,Gemma3-27B,LoRA,ML,ML,None,N/A,0.213697,0.336032,0.337938,0.368421,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Gemma3-27B/run047_fixed.csv,2026-04-30T11:35:51
048,Gemma3-27B,LoRA,PG,PG,None,N/A,0.535002,0.572008,0.744296,0.815416,494,493,1,0.002024,316,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Gemma3-27B/run048_fixed.csv,2026-04-30T15:04:50
049,Gemma3-27B,LoRA,Act,Act,None,N/A,0.645238,0.769231,0.86918,0.876518,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Gemma3-27B/run049_fixed.csv,2026-04-30T15:14:04
050,Gemma3-27B,LoRA,MT,MI,None,N/A,0.597633,0.856275,0.875082,0.92915,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Gemma3-27B/run050.csv,2026-04-30T16:53:04
050,Gemma3-27B,LoRA,MT,ML,None,N/A,0.517145,0.744939,0.78476,0.825911,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Gemma3-27B/run050.csv,2026-04-30T16:53:04
050,Gemma3-27B,LoRA,MT,PG,None,N/A,0.524445,0.672065,0.768366,0.836032,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Gemma3-27B/run050.csv,2026-04-30T16:53:04
050,Gemma3-27B,LoRA,MT,Act,None,N/A,0.64376,0.781377,0.887659,0.894737,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Gemma3-27B/run050.csv,2026-04-30T16:53:04
051,Qwen3-14B,ZeroShot,MI,MI,None,ON,0.518446,0.601504,0.682005,0.755639,538,532,6,0.011152,11;14;18;19;314;425,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/CoT-Experiments/ZeroShot/Qwen3_14B/run051_mi.csv,2026-05-05T17:45:04
052,Qwen3-14B,ZeroShot,ML,ML,None,ON,0.459294,0.563525,0.675028,0.704918,494,488,6,0.012146,8;9;14;81;219;319,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/CoT-Experiments/ZeroShot/Qwen3_14B/run052_ml.csv,2026-05-05T11:28:05
053,Qwen3-14B,ZeroShot,PG,PG,None,ON,0.447699,0.487654,0.651749,0.728395,494,486,8,0.016194,10;12;14;30;31;87;287;420,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/CoT-Experiments/ZeroShot/Qwen3_14B/run053_pg.csv,2026-05-05T11:28:13
054,Qwen3-14B,ZeroShot,Act,Act,None,ON,0.366085,0.36714,0.579235,0.63286,494,493,1,0.002024,472,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/CoT-Experiments/ZeroShot/Qwen3_14B/run054_act.csv,2026-05-05T11:28:26
056,Qwen3-14B,LoRA,MI,MI,None,ON,0.21762,0.316159,0.337317,0.351288,538,427,111,0.20632,60;68;70;73;74;77;78;80;84;87;88;89;90;138;139;143;145;146;147;168;170;171;174;178;181;182;184;185;224;256;257;259;260;263;267;269;272;274;275;276;277;278;280;302;304;306;307;316;318;319;320;321;323;339;342;343;344;346;348;350;351;360;361;362;363;364;365;366;367;370;373;375;377;378;380;385;404;405;407;409;410;413;416;418;420;422;423;425;430;431;432;433;436;437;439;440;442;445;449;451;452;461;462;463;464;465;467;468;479;481;482,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/CoT-Experiments/LORA/Qwen3_14B/run056_mi.csv,2026-05-05T18:45:43
057,Qwen3-14B,LoRA,ML,ML,None,ON,0.283355,0.406566,0.436836,0.436869,494,396,98,0.198381,50;55;58;63;64;67;68;70;74;78;79;80;122;123;129;148;152;153;154;155;156;158;161;162;164;165;200;205;230;231;233;234;237;241;243;246;248;249;250;251;253;254;274;278;279;288;290;292;295;308;314;315;316;318;319;320;330;331;332;333;336;337;339;340;343;345;347;348;350;375;377;378;382;384;386;389;394;395;396;397;400;401;403;404;406;410;411;421;422;423;424;425;427;428;439;441;442;445,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/CoT-Experiments/LORA/Qwen3_14B/run057_ml.csv,2026-05-05T14:09:53
058,Qwen3-14B,LoRA,PG,PG,None,ON,0.236658,0.319588,0.376277,0.378866,494,388,106,0.214575,50;60;64;67;68;70;74;77;78;79;80;122;123;124;127;129;136;150;152;153;154;155;156;157;158;161;162;164;165;200;204;205;230;231;233;234;237;241;243;248;249;251;252;254;274;288;290;291;292;293;295;310;311;314;315;316;318;319;320;321;330;331;332;333;335;336;337;339;340;342;343;345;347;349;350;372;373;374;375;377;378;382;384;386;388;389;391;395;396;397;400;401;403;404;406;407;410;411;421;422;423;425;427;428;439;445,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/CoT-Experiments/LORA/Qwen3_14B/run058_pg.csv,2026-05-05T14:09:58
059,Qwen3-14B,LoRA,Act,Act,None,ON,0.285471,0.401015,0.430003,0.431472,494,394,100,0.202429,50;52;58;60;68;70;74;77;78;79;122;123;127;129;148;150;152;153;154;156;158;161;162;164;165;200;204;230;231;233;234;237;241;243;246;248;249;250;251;252;274;276;278;288;290;291;292;293;295;311;314;315;316;318;319;320;330;331;333;335;336;337;339;340;345;347;349;350;352;372;373;374;375;378;382;384;386;388;389;394;395;396;400;401;404;406;407;410;411;421;422;423;424;425;427;428;439;441;443;445,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/CoT-Experiments/LORA/Qwen3_14B/run059_act.csv,2026-05-05T17:59:56
061,LLaMA-3.1-8B,LoRA,MI,MI,Qwen3-Gen,N/A,0.625486,0.724907,0.820624,0.8829,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LORA/LLaMA-3.1-8B/run061_mi.csv,2026-05-06T20:50:40
062,LLaMA-3.1-8B,LoRA,ML,ML,Qwen3-Gen,N/A,0.440699,0.593117,0.713124,0.785425,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LORA/LLaMA-3.1-8B/run062_ml.csv,2026-05-06T20:51:25
063,LLaMA-3.1-8B,LoRA,PG,PG,Qwen3-Gen,N/A,0.484833,0.587045,0.737296,0.840081,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Llama/run063_pg.csv,2026-05-06T21:40:48
064,LLaMA-3.1-8B,LoRA,Act,Act,Qwen3-Gen,N/A,0.55258,0.615385,0.775148,0.797571,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Llama/run064_act.csv,2026-05-06T21:43:20
065,LLaMA-3.1-8B,LoRA,MT,MI,Qwen3-Gen,N/A,0.554969,0.852227,0.85066,0.923077,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Llama/run065_mt.csv,2026-05-06T22:42:03
065,LLaMA-3.1-8B,LoRA,MT,ML,Qwen3-Gen,N/A,0.419139,0.633603,0.663161,0.714575,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Llama/run065_mt.csv,2026-05-06T22:42:03
065,LLaMA-3.1-8B,LoRA,MT,PG,Qwen3-Gen,N/A,0.487089,0.601215,0.739457,0.840081,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Llama/run065_mt.csv,2026-05-06T22:42:03
065,LLaMA-3.1-8B,LoRA,MT,Act,Qwen3-Gen,N/A,0.483339,0.682186,0.770464,0.801619,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Llama/run065_mt.csv,2026-05-06T22:42:03
066,Mistral-7B,LoRA,MI,MI,Qwen3-Gen,N/A,0.505538,0.579926,0.688233,0.747212,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Mistral/run066_mi.csv,2026-05-07T01:19:14
067,Mistral-7B,LoRA,ML,ML,Qwen3-Gen,N/A,0.336742,0.425101,0.575601,0.595142,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Mistral/run067_ml.csv,2026-05-07T01:19:31
068,Mistral-7B,LoRA,PG,PG,Qwen3-Gen,N/A,0.398862,0.45749,0.609523,0.661943,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Mistral/run068_pg.csv,2026-05-07T02:00:15
069,Mistral-7B,LoRA,Act,Act,Qwen3-Gen,N/A,0.427852,0.508097,0.601798,0.607287,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Mistral/run069_act.csv,2026-05-07T02:00:24
070,Mistral-7B,LoRA,MT,MI,Qwen3-Gen,N/A,0.483576,0.703854,0.715546,0.807302,494,493,1,0.002024,209,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Mistral/run070_mt.csv,2026-05-07T14:57:13
070,Mistral-7B,LoRA,MT,ML,Qwen3-Gen,N/A,0.448532,0.539554,0.634592,0.655172,494,493,1,0.002024,209,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Mistral/run070_mt.csv,2026-05-07T14:57:13
070,Mistral-7B,LoRA,MT,PG,Qwen3-Gen,N/A,0.500009,0.523327,0.732733,0.837728,494,493,1,0.002024,209,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Mistral/run070_mt.csv,2026-05-07T14:57:13
070,Mistral-7B,LoRA,MT,Act,Qwen3-Gen,N/A,0.484043,0.565923,0.67051,0.740365,494,493,1,0.002024,209,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Mistral/run070_mt.csv,2026-05-07T14:57:13
071,Qwen3-14B,LoRA,MI,MI,Qwen3-Gen,OFF,0.695929,0.815985,0.857642,0.914498,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Qwen3-14B/run071_mi.csv,2026-05-07T17:08:41
072,Qwen3-14B,LoRA,ML,ML,Qwen3-Gen,OFF,0.474486,0.6417,0.717956,0.757085,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Qwen3-14B/run072_ml.csv,2026-05-07T17:08:56
073,Qwen3-14B,LoRA,PG,PG,Qwen3-Gen,OFF,0.498469,0.615385,0.737214,0.819838,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Qwen3-14B/run073_pg.csv,2026-05-07T17:09:04
074,Qwen3-14B,LoRA,Act,Act,Qwen3-Gen,OFF,0.568683,0.684211,0.813685,0.82996,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Qwen3-14B/run074_act.csv,2026-05-07T18:15:34
075,Qwen3-14B,LoRA,MT,MI,Qwen3-Gen,OFF,0.54988,0.842105,0.839391,0.908907,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Qwen3-14B/run075_mt.csv,2026-05-07T18:31:24
075,Qwen3-14B,LoRA,MT,ML,Qwen3-Gen,OFF,0.489913,0.696356,0.716169,0.763158,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Qwen3-14B/run075_mt.csv,2026-05-07T18:31:24
075,Qwen3-14B,LoRA,MT,PG,Qwen3-Gen,OFF,0.531639,0.659919,0.754403,0.82996,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Qwen3-14B/run075_mt.csv,2026-05-07T18:31:24
075,Qwen3-14B,LoRA,MT,Act,Qwen3-Gen,OFF,0.570813,0.738866,0.845504,0.860324,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Qwen3-14B/run075_mt.csv,2026-05-07T18:31:24
076,Gemma3-12B,LoRA,MI,MI,Qwen3-Gen,N/A,0.734747,0.85316,0.858575,0.908922,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Gemma3-12B/run076_mi.csv,2026-05-07T23:26:32
077,Gemma3-12B,LoRA,ML,ML,Qwen3-Gen,N/A,0.526349,0.724696,0.76365,0.801619,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Gemma3-12B/run077_ml.csv,2026-05-07T23:26:47
078,Gemma3-12B,LoRA,PG,PG,Qwen3-Gen,N/A,0.548137,0.668016,0.762403,0.836032,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Gemma3-12B/run078_pg.csv,2026-05-07T23:27:07
079,Gemma3-12B,LoRA,Act,Act,Qwen3-Gen,N/A,0.579847,0.649798,0.863158,0.870445,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Gemma3-12B/run079_act.csv,2026-05-08T00:36:38
080,Gemma3-12B,LoRA,MT,MI,Qwen3-Gen,N/A,0.572159,0.825911,0.847947,0.91498,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Gemma3-12B/run080_mt.csv,2026-05-08T01:02:46
080,Gemma3-12B,LoRA,MT,ML,Qwen3-Gen,N/A,0.510665,0.742915,0.779272,0.834008,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Gemma3-12B/run080_mt.csv,2026-05-08T01:02:46
080,Gemma3-12B,LoRA,MT,PG,Qwen3-Gen,N/A,0.491966,0.67004,0.75493,0.831984,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Gemma3-12B/run080_mt.csv,2026-05-08T01:02:46
080,Gemma3-12B,LoRA,MT,Act,Qwen3-Gen,N/A,0.600174,0.748988,0.879388,0.888664,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Gemma3-12B/run080_mt.csv,2026-05-08T01:02:46
081,Gemma3-27B,LoRA,MI,MI,Qwen3-Gen,N/A,0.748189,0.856877,0.873442,0.918216,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Gemma3-27B/run081_mi.csv,2026-05-08T08:21:04
082,Gemma3-27B,LoRA,ML,ML,Qwen3-Gen,N/A,0.512738,0.738866,0.763288,0.797571,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/DataAugmentation-Experiments/LORA/Gemma3-27B/run082_ml.csv,2026-05-08T08:03:52
